Date,Hour,NO2-ug-per-m3
2019-02-05,24,16
2019-02-06,01,21
2019-02-06,02,21
2019-02-06,03,21
2019-02-06,04,19
2019-02-06,05,34
2019-02-06,06,44
2019-02-06,07,46
2019-02-06,08,46
2019-02-06,09,42
2019-02-06,10,31
2019-02-06,11,36
2019-02-06,12,41
2019-02-06,13,35
2019-02-06,14,37
2019-02-06,15,44
2019-02-06,16,46
2019-02-06,17,47
2019-02-06,18,44
2019-02-06,19,43
2019-02-06,20,34
2019-02-06,21,33
2019-02-06,22,32
2019-02-06,23,30
2019-02-06,24,31
2019-02-07,01,31
2019-02-07,02,31
2019-02-07,03,32
2019-02-07,04,32
2019-02-07,05,32
2019-02-07,06,47
2019-02-07,07,55
2019-02-07,08,51
2019-02-07,09,49
2019-02-07,10,41
2019-02-07,11,42
2019-02-07,12,39
2019-02-07,13,35
2019-02-07,14,32
2019-02-07,15,41
2019-02-07,16,49
2019-02-07,17,35
2019-02-07,18,36
2019-02-07,19,34
2019-02-07,20,20
2019-02-07,21,12
2019-02-07,22,10
2019-02-07,23,10
2019-02-07,24,9
2019-02-08,01,7
2019-02-08,02,8
2019-02-08,03,7
2019-02-08,04,9
2019-02-08,05,15
2019-02-08,06,24
2019-02-08,07,36
2019-02-08,08,43
2019-02-08,09,45
2019-02-08,10,39
2019-02-08,11,33
2019-02-08,12,28
2019-02-08,13,29
2019-02-08,14,32
2019-02-08,15,29
2019-02-08,16,31
2019-02-08,17,29
2019-02-08,18,32
2019-02-08,19,23
2019-02-08,20,22
2019-02-08,21,15
2019-02-08,22,11
2019-02-08,23,10
2019-02-08,24,8
2019-02-09,01,7
2019-02-09,02,7
2019-02-09,03,5
2019-02-09,04,5
2019-02-09,05,6
2019-02-09,06,9
2019-02-09,07,8
2019-02-09,08,8
2019-02-09,09,15
2019-02-09,10,17
2019-02-09,11,20
2019-02-09,12,18
2019-02-09,13,16
2019-02-09,14,16
2019-02-09,15,17
2019-02-09,16,17
2019-02-09,17,17
2019-02-09,18,18
2019-02-09,19,19
2019-02-09,20,14
2019-02-09,21,11
2019-02-09,22,9
2019-02-09,23,8
2019-02-09,24,8
2019-02-10,01,10
2019-02-10,02,9
2019-02-10,03,8
2019-02-10,04,7
