,Date,Hour,e5,e10,diesel
438,2019-01-19,6,1.347817204,1.323731183,1.251473118
439,2019-01-19,7,1.323558824,1.295617647,1.237529412
440,2019-01-19,8,1.315904762,1.287809524,1.221142857
441,2019-01-19,9,1.31275,1.28775,1.22275
442,2019-01-19,10,1.307679245,1.278056604,1.212962264
443,2019-01-19,11,1.351716049,1.325296296,1.260111111
444,2019-01-19,12,1.3234,1.3002,1.2328
445,2019-01-19,13,1.317305085,1.293237288,1.239
446,2019-01-19,14,1.307372093,1.279465116,1.214348837
447,2019-01-19,15,1.294671642,1.267059701,1.201835821
448,2019-01-19,16,1.340192661,1.315972477,1.243495413
449,2019-01-19,17,1.287714286,1.263071429,1.1995
450,2019-01-19,18,1.276272727,1.251121212,1.180666667
451,2019-01-19,19,1.26925641,1.243871795,1.175410256
452,2019-01-19,20,1.258285714,1.236857143,1.160428571
453,2019-01-19,21,1.327181818,1.301045455,1.230590909
454,2019-01-19,22,1.409,1.389,1.279
455,2019-01-19,23,1.407333333,1.387333333,1.282333333
456,2019-01-20,0,1.405666667,1.385666667,1.285666667
457,2019-01-20,1,1.404,1.384,1.289
458,2019-01-20,2,1.402333333,1.382333333,1.292333333
459,2019-01-20,3,1.400666667,1.380666667,1.295666667
460,2019-01-20,4,1.399,1.379,1.299
461,2019-01-20,5,1.396764706,1.371705882,1.285588235
462,2019-01-20,6,1.345458333,1.3215,1.250666667
463,2019-01-20,7,1.329,1.299909091,1.237181818
464,2019-01-20,8,1.3205,1.298,1.23
465,2019-01-20,9,1.314,1.279,1.21025
466,2019-01-20,10,1.298333333,1.271,1.179
467,2019-01-20,11,1.344534591,1.319125786,1.224597484
468,2019-01-20,12,1.336021277,1.311446809,1.210808511
469,2019-01-20,13,1.316,1.29,1.207857143
470,2019-01-20,14,1.300538462,1.269,1.189
471,2019-01-20,15,1.299405405,1.271972973,1.186972973
472,2019-01-20,16,1.328213483,1.30388764,1.215292135
473,2019-01-20,17,1.292880597,1.267208955,1.198776119
474,2019-01-20,18,1.277305085,1.248661017,1.175779661
475,2019-01-20,19,1.268545455,1.248545455,1.163090909
476,2019-01-20,20,1.267,1.239,1.167
477,2019-01-20,21,1.332541667,1.304833333,1.218791667
478,2019-01-20,22,1.409,1.389,1.279
479,2019-01-20,23,1.407333333,1.387333333,1.282333333
480,2019-01-21,0,1.405666667,1.385666667,1.285666667
481,2019-01-21,1,1.404,1.384,1.289
482,2019-01-21,2,1.402333333,1.382333333,1.292333333
483,2019-01-21,3,1.400666667,1.380666667,1.295666667
484,2019-01-21,4,1.399,1.379,1.299
485,2019-01-21,5,1.387636364,1.363090909,1.274795455
486,2019-01-21,6,1.354949367,1.330139241,1.256848101
487,2019-01-21,7,1.335744186,1.308302326,1.230511628
488,2019-01-21,8,1.330764706,1.304647059,1.203
489,2019-01-21,9,1.32775,1.301916667,1.195666667
490,2019-01-21,10,1.320145038,1.296251908,1.191519084
491,2019-01-21,11,1.3505,1.323071429,1.220785714
492,2019-01-21,12,1.340733333,1.3186,1.2138
493,2019-01-21,13,1.320142857,1.289857143,1.206142857
494,2019-01-21,14,1.309666667,1.282888889,1.196666667
495,2019-01-21,15,1.30562069,1.279758621,1.196517241
496,2019-01-21,16,1.325923077,1.300923077,1.212615385
497,2019-01-21,17,1.302064516,1.275693548,1.199322581
498,2019-01-21,18,1.278587629,1.250752577,1.183639175
499,2019-01-21,19,1.264714286,1.244714286,1.171142857
500,2019-01-21,20,1.304769231,1.283230769,1.203615385
501,2019-01-21,21,1.33025,1.301083333,1.231916667
502,2019-01-21,22,1.369,1.389,1.247571429
503,2019-01-21,23,1.375666667,1.389,1.257809524
