Row,Number of vessels,Date,Hour
496,12,2019-01-21,16
497,9,2019-01-21,17
498,4,2019-01-21,18
499,5,2019-01-21,19
500,7,2019-01-21,20
501,9,2019-01-21,21
502,10,2019-01-21,22
503,8,2019-01-21,23
504,7,2019-01-22,0
505,6,2019-01-22,1
506,7,2019-01-22,2
507,10,2019-01-22,3
508,11,2019-01-22,4
509,14,2019-01-22,5
510,12,2019-01-22,6
511,11,2019-01-22,7
512,7,2019-01-22,8
513,6,2019-01-22,9
514,4,2019-01-22,10
515,5,2019-01-22,11
516,5,2019-01-22,12
517,2,2019-01-22,13
518,5,2019-01-22,14
519,6,2019-01-22,15
520,5,2019-01-22,16
521,3,2019-01-22,17
522,6,2019-01-22,18
523,6,2019-01-22,19
524,6,2019-01-22,20
525,9,2019-01-22,21
526,12,2019-01-22,22
527,10,2019-01-22,23
528,5,2019-01-23,0
529,7,2019-01-23,1
530,4,2019-01-23,2
531,8,2019-01-23,3
532,8,2019-01-23,4
533,8,2019-01-23,5
534,7,2019-01-23,6
535,7,2019-01-23,7
536,6,2019-01-23,8
537,4,2019-01-23,9
538,6,2019-01-23,10
539,6,2019-01-23,11
540,9,2019-01-23,12
541,8,2019-01-23,13
542,5,2019-01-23,14
543,4,2019-01-23,15
544,6,2019-01-23,16
545,9,2019-01-23,17
546,10,2019-01-23,18
547,7,2019-01-23,19
548,7,2019-01-23,20
549,4,2019-01-23,21
550,4,2019-01-23,22
551,3,2019-01-23,23
552,3,2019-01-24,0
553,4,2019-01-24,1
554,7,2019-01-24,2
555,10,2019-01-24,3
556,9,2019-01-24,4
557,9,2019-01-24,5
558,8,2019-01-24,6
559,7,2019-01-24,7
560,5,2019-01-24,8
561,3,2019-01-24,9
562,2,2019-01-24,10
563,3,2019-01-24,11
564,5,2019-01-24,12
565,8,2019-01-24,13
566,9,2019-01-24,14
567,6,2019-01-24,15
568,7,2019-01-24,16
569,7,2019-01-24,17
570,2,2019-01-24,18
571,1,2019-01-24,19
572,4,2019-01-24,20
573,4,2019-01-24,21
574,2,2019-01-24,22
575,2,2019-01-24,23
576,3,2019-01-25,0
577,6,2019-01-25,1
578,8,2019-01-25,2
579,5,2019-01-25,3
580,9,2019-01-25,4
581,13,2019-01-25,5
582,11,2019-01-25,6
583,10,2019-01-25,7
584,6,2019-01-25,8
585,5,2019-01-25,9
586,7,2019-01-25,10
587,6,2019-01-25,11
588,7,2019-01-25,12
589,8,2019-01-25,13
590,6,2019-01-25,14
591,6,2019-01-25,15
592,5,2019-01-25,16
593,5,2019-01-25,17
594,5,2019-01-25,18
595,7,2019-01-25,19
596,7,2019-01-25,20
597,6,2019-01-25,21
598,6,2019-01-25,22
599,5,2019-01-25,23
600,5,2019-01-26,0
601,4,2019-01-26,1
602,6,2019-01-26,2
603,7,2019-01-26,3
604,6,2019-01-26,4
605,5,2019-01-26,5
606,5,2019-01-26,6
607,4,2019-01-26,7
608,9,2019-01-26,8
609,8,2019-01-26,9
610,11,2019-01-26,10
611,10,2019-01-26,11
612,13,2019-01-26,12
613,12,2019-01-26,13
614,13,2019-01-26,14
615,7,2019-01-26,15
616,9,2019-01-26,16
617,9,2019-01-26,17
618,11,2019-01-26,18
619,13,2019-01-26,19
620,11,2019-01-26,20
621,13,2019-01-26,21
622,11,2019-01-26,22
623,9,2019-01-26,23
624,8,2019-01-27,0
625,8,2019-01-27,1
626,7,2019-01-27,2
627,7,2019-01-27,3
628,8,2019-01-27,4
629,9,2019-01-27,5
630,8,2019-01-27,6
631,7,2019-01-27,7
632,12,2019-01-27,8
633,9,2019-01-27,9
634,10,2019-01-27,10
635,8,2019-01-27,11
636,9,2019-01-27,12
637,5,2019-01-27,13
638,5,2019-01-27,14
639,6,2019-01-27,15
640,11,2019-01-27,16
641,9,2019-01-27,17
642,5,2019-01-27,18
643,5,2019-01-27,19
644,5,2019-01-27,20
645,11,2019-01-27,21
646,10,2019-01-27,22
647,7,2019-01-27,23
648,4,2019-01-28,0
649,5,2019-01-28,1
650,5,2019-01-28,2
651,4,2019-01-28,3
652,9,2019-01-28,4
653,9,2019-01-28,5
654,7,2019-01-28,6
655,4,2019-01-28,7
656,3,2019-01-28,8
657,5,2019-01-28,9
658,7,2019-01-28,10
659,6,2019-01-28,11
660,6,2019-01-28,12
661,6,2019-01-28,13
662,6,2019-01-28,14
663,6,2019-01-28,15
664,4,2019-01-28,16
665,2,2019-01-28,17
666,1,2019-01-28,18
667,1,2019-01-28,19
668,1,2019-01-28,20
669,0,2019-01-28,21
670,0,2019-01-28,22
671,0,2019-01-28,23
672,9,2019-01-29,0
673,10,2019-01-29,1
674,6,2019-01-29,2
675,4,2019-01-29,3
676,3,2019-01-29,4
677,4,2019-01-29,5
678,4,2019-01-29,6
679,5,2019-01-29,7
680,3,2019-01-29,8
681,3,2019-01-29,9
682,5,2019-01-29,10
683,6,2019-01-29,11
684,4,2019-01-29,12
685,2,2019-01-29,13
686,1,2019-01-29,14
687,4,2019-01-29,15
688,5,2019-01-29,16
689,4,2019-01-29,17
690,2,2019-01-29,18
691,2,2019-01-29,19
692,3,2019-01-29,20
